fake_news_domain,category
universepolitics.com,fake
urbanimagemagazine.com,some
urdoca.com,some
usa-radio.com,fake
usa-television.com,imposter
usa360-tv.com,fake
usaconservativereport.com,fake
usadailyinfo.com,fake
usadailypost.us,fake
usadailythings24.com,fake
usadailytime.com,fake
usadosenews.com,fake
usafirstinformation.com,fake
usanews4u.us,fake
usanewsflash.com,fake
usanewshome.com,fake
usanewstoday.com,fake
usapolitics24hrs.com,fake
usapoliticsnow.com,fake
usapoliticstoday.com,fake
usapoliticszone.com,fake
usasnich.com,fake
usasupreme.com,fake
usatodaynews.me,imposter
usaworldbox.com,fake
ushealthyadvisor.com,fake
ushealthylife.com,fake
usherald.com,fake
usinfonews.com,fake
uspoliticsinfo.com,fake
uspoln.com,fake
uspostman.com,fake
ustruthwire.com,fake
veteransfordonaldtrump.com,fake
viralactions.com,fake
voxtribune.com,fake
washingtonevening.com,imposter
washingtonfeed.com,imposter
washingtonpost.com.co,imposter
wazanews.tk,fake
weconservative.com,fake
weekendpoliticalnews.com,fake
welovenative.com,some
werk35.com,imposter
westfieldpost.com,imposter
wetheproudpatriots.com,fake
whatdoesitmean.com,fake
whydontyoutrythis.com,some
world.politics.com,fake
worldnewscircle.com,fake
worldnewsdailyreport.com,parody
worldpoliticsnow.com,fake
worldtruth.tv,fake
wrpm33.com,imposter
wy21news.com,imposter
yournewswire.com,fake
