fake_news_domain,category
empireherald.com,fake
empirenews.net,fake
empiresports.co,satire
emptywheel.net,political
en-vovle.com,fake
enabon.com,fake
endingthefed.com,bias
endoftheamericandream.com,conspiracy
endtime.com,bias
enduringvision.com,fake
enhlive.com,fake
eutimes.net,hate
eutopia.buzz,fake
ewao.com,junksci
experimentalvaccines.org,junksci
expose1933.com,conspiracy
express.co.uk,rumor
extraclubmagazine.com,bias
eyeopening.info,conspiracy
fakingnews.com,fake
familysecuritymatters.org,conspiracy
farmwars.info,fake
federalistpress.com,bias
fedsalert.com,fake
fellowshipoftheminds.com,conspiracy
filmsforaction.org,political
financialsurvivalnetwork.com,unreliable
firearmscoalition.org,bias
flashnewscorner.com,fake
floridasunpost.com,fake
fmobserver.com,satire
fognews.ru,satire
foodbabe.com,junksci
foreignpolicyjournal.com,political
fourwinds10.net,conspiracy
fprnradio.com,conspiracy
freakoutnation.com,bias
freebeacon.com,bias
freedomdaily.com,fake
freedomforceinternational.com,conspiracy
freedomoutpost.com,conspiracy
freedomsphoenix.com,bias
freedomworks.org,political
freedomworldnews.com,bias
freepatriot.org,satire
freewoodpost.com,satire
freshdailyreport.com,fake
fridaymash.com,satire
fromthetrenchesworldreport.com,conspiracy
frontpagemag.com,bias
fusion.net,political
gaia.com,conspiracy
galacticconnection.com,junksci
gangstergovernment.com,conspiracy
gatesofvienna.net,hate
geoengineeringwatch.org,junksci
geopolmonitor.com,political
givemeliberity01.com,fake
glaringhypocrisy.com,hate
globalpoliticsnow.com,fake
globalresearch.ca,conspiracy
glossynews.com,satire
godlikeproductions.com,conspiracy
gomerblog.com,satire
goneleft.com,fake
gopthedailydose.com,fake
govtslaves.info,conspiracy
greanvillepost.com,conspiracy
greenmedinfo.com,junksci
guardianlv.com,political
guccifer2.wordpress.com,unreliable
gulagbound.com,bias
gummypost.com,fake
hangthebankers.com,conspiracy
healthimpactnews.com,junksci
healthnutnews.com,junksci
healthy-holistic-living.com,junksci
healthycareandbeauty.com,fake
healthyworldhouse.com,fake
heartland.org,bias
heatst.com,clickbait
henrymakow.com,conspiracy
heresyblog.net,bias
heritage.org,political
holyobserver.com,satire
horowitzfreedomcenter.org,bias
humansarefree.com,conspiracy
humortimes.com,satire
huzlers.com,satire
icr.org,junksci
ifyouonlynews.com,unreliable
ihavethetruth.com,bias
ihr.org,hate
ijr.com,political
illuminati-news.com,conspiracy
ilovemyfreedom.org,bias
immediatesafety.org,fake
in5d.com,junksci
indiaarising.com,clickbait
infiniteunknown.net,conspiracy
informationclearinghouse.info,conspiracy
informetoday.com,bias
infostormer.com,fake
infowars.com,conspiracy
instaworldnews.com,bias
intellihub.com,conspiracy
interestingdailynews.com,fake
intrendtoday.com,fake
intrepidreport.com,bias
investmentresearchdynamics.com,conspiracy
investmentwatchblog.com,bias
ironictimes.com,satire
islamicanews.com,satire
itaglive.com,fake
itccs.org,conspiracy
itmakessenseblog.com,fake
iwanttoexplore.com,fake
jackpineradicals.com,political
jacobinmag.com,political
jamesrgrangerjr.com,bias
jesus-is-savior.com,conspiracy
jewsnews.co.il,unreliable
jihadwatch.org,conspiracy
johnnyrobish.com,satire
jonesreport.com,conspiracy
journal-neo.org,bias
judicialwatch.org,political
katehon.com,bias
kmt11.com,fake
knowledgeoftoday.org,conspiracy
konkonsagh.biz,fake
krbcnews.com,fake
ky12news.com,fake
ladylibertynews.com,fake
landoverbaptist.org,satire
lastdeplorables.com,fake
learnprogress.org,fake
lewrockwell.com,bias
liberalamerica.org,clickbait
liberalbias.com,satire
liberaldarkness.com,satire
liberalplug.com,fake
libertyalliance.com,fake
libertyblitzkrieg.com,fake
libertyfederation.com,hate
libertymovementradio.com,conspiracy
libertynews.com,unreliable
libertytalk.fm,conspiracy
libertyunyielding.com,bias
libertyvideos.org,conspiracy
libertywritersnews.com,clickbait
lifeandabout.com,bias
lifenews.com,bias
lifeprevention.com,junksci
lifesitenews.com,clickbait
lifezette.com,clickbait
liveactionnews.org,bias
livevote.com,clickbait
loanpride.com,rumor
local31news.com,fake
lovethispic.com,clickbait
lushforlife.com,satire
mad-yet.blogspot.com,unreliable
madpatriots.com,unreliable
madworldnews.com,unreliable
madworldnews.com,fake
magafeed.com,rumor
maganews.co,fake
majorthoughts.com,fake
makeamericagreattoday.com,bias
meanlefthook.com,bias
mediamass.net,fake
mediazone.news,rumor
megafreshnews.com,rumor
megynkelly.us,fake
mentor2day.com,fake
metropolitanworlds.com,fake
militianews.com,conspiracy
mintpressnews.com,political
molonlabemedia.com,bias
moonofalabama.org,bias
morningledger.com,unreliable
morningnewsusa.com,unreliable
mpidailymagazine.com,fake
mrc.org,political
mrconservative.com,fake
msnbc.website,fake
myfreshnews.com,fake
myzonetoday.com,fake
nahadaily.com,satire
nakedcapitalism.com,political
nasamoonhoax.com,conspiracy
nationalreport.net,satire
nationalreview.com,political
nationalufocenter.com,conspiracy
nationalvanguard.org,hate
nationindistress.weebly.com,conspiracy
nationonenews.com,fake
naturalblaze.com,junksci
naturalnews.com,junksci
naturalnewsblogs.com,junksci
nbc.com.co,fake
ncscooper.com,satire
neonnettle.com,conspiracy
nephef.com,fake
nevo.news,unreliable
newcenturytimes.com,unreliable
newcoldwar.org,political
newpoliticstoday.com,fake
news4ktla.com,fake
newsbbc.net,fake
newsbiscuit.com,satire
newsbreakers.org,satire
newsbreakshere.com,fake
newsbysquad.com,fake
newscorpse.com,political
newsdaily12.com,fake
newsexaminer.net,fake
newsfrompolitics.com,fake
newsleak.co,fake
newslo.com,fake
newslogue.com,bias
newsmagazine.com,fake
newsmax.com,unreliable
newsmutiny.com,satire
newsninja2012.com,bias
newstarget.com,conspiracy
newsthump.com,satire
newstoad.net,satire
newswatch28.com,fake
newswatch33.com,fake
newswire-24.com,rumor
newswithviews.com,fake
newyorker.com,satire
nodisinfo.com,conspiracy
nomorefakenews.com,conspiracy
northcrane.com,unreliable
notallowedto.com,clickbait
now8news.com,fake
nowtheendbegins.com,conspiracy
npiamerica.org,hate
nutritionalanarchy.com,unreliable
nutritionfacts.org,reliable
nymeta.co,clickbait
oann.com,political
oathkeepers.org,bias
objectiveministries.org,satire
observer.com,political
occupy.com,political
occupydemocrats.com,clickbait
occupyliberals.com,bias
off-guardian.org,bias
offgridsurvival.com,conspiracy
oftwominds.com,bias
oilgeopolitics.net,conspiracy
onepoliticalplaza.com,fake
onlineconservativepress.com,fake
openmagazines.com,fake
openmindmagazine.com,bias
orientalreview.org,bias
other98.com,clickbait
pakalertpress.com,fake
palmerreport.com,bias
pamelageller.com,conspiracy
patdollar.com,bias
patriotchronicle.com,bias
patriotnewsdaily.com,bias
patriotnewsdaily.com,satire
patriotpost.us,bias
patriotrising.com,bias
patriotupdate.com,bias
paulcraigroberts.org,bias
pjmedia.com,political
platosguns.com,bias
politicalblindspot.com,conspiracy
politicalcult.com,bias
politicalears.com,unreliable
politicalo.com,fake
politicalsitenews.com,fake
politicalupdator.com,fake
politicono.com,fake
politicops.com,satire
politicot.com,satire
politicsintheusa.com,unreliable
politicsusanews.com,fake
politicususa.com,clickbait
pollhype.com,rumor
powerpoliticians.com,unreliable
pravda.ru,bias
pravdareport.com,bias
prepperwebsite.com,conspiracy
president45donaldtrump.com,fake
presidentialvoting2016.com,political
presstv.com,bias
presstv.ir,bias
prisonplanet.com,conspiracy
prisonplanet.tv,conspiracy
prntly.com,fake
proamericanews.com,fake
progressivestoday.com,bias
projectveritas.com,bias
proudcons.com,fake
proudemocrat.com,political
qpolitical.com,bias
rawforbeauty.com,junksci
rawstory.com,political
react365.com,fake
readconservatives.news,bias
reagancoalition.com,bias
realfarmacy.com,junksci
realnewsrightnow.com,fake
realplanetnews.com,junksci
realtimepolitics.com,bias
redcountry.us,fake
redflagnews.com,bias
redrocktribune.com,fake
redstate.com,political
redstatewatcher.com,bias
reductress.com,satire
regated.com,bias
religionlo.com,satire
religionmind.com,fake
remedydaily.com,clickbait
rense.com,conspiracy
resistancereport.com,political
responsibletechnology.org,junksci
returnofkings.com,hate
revolutions2040.com,junksci
rhotv.com,fake
rickwells.us,fake
rightalert.com,bias
rightwingnews.com,bias
rilenews.com,fake
rinf.com,political
rockcitytimes.com,satire
rogue-nation3.com,fake
ronpaulinstitute.org,political
rt.com,state
rumorjournal.com,fake
rumormillnews.com,conspiracy
ruptly.tv,political
russia-insider.com,bias
satiratribune.com,satire
satirewire.com,satire
scrappleface.com,satire
secretsofthefed.com,conspiracy
sensationalisttimes.com,satire
sentinelblog.com,conspiracy
shareblue.com,unreliable
sheepkillers.com,conspiracy
